cleaned_comment;Sentiment
pengungsi korban gempa kabupaten cianjur mendiami tenda tenda terindikasi mengalami ganguan mental emosional angka persentase penderitanya relatif tingi medcomid;Agak Negatif
fpijawabaratmpi jabar gelar trauma healing anak anak korban gempa cianjur cugenang;Positif
desember yayasan asih mulia laksana serahkan donasi bantuan korban gempa cianjur cianjur jawabarat indonesia;Netral
terimakasih donatur terlibat dlm kegiatan peduli gempa cianjur semoga alah swt senantiasa membalasnya dg keberkahan imbalan pahala amin dri ikatan alumni lintas angkatan sman peduligempacianjur;Agak Positif
bantuan kalimantan selatan diterima korban gempa cianjur;Netral
peduli korban gempa cianjur rutan cipinang kemenkumham dki jakarta ikuti kegiatan kumham peduli cianjur;Netral
paska gempa cianjur back camp pengungsian orang tua sdh sepuh sing cager umur;Agak Positif
kemensos salurkan bantuan tunai anak yatim piatu paska gempa cianjur;Positif
semoga uas bljr sm gus baha gempa cianjur kemaren berhutang budi anjing korban ditemukan bantuan anjing pelacak anjing memiliki penciuman tajam membedakan bahan peledak bom narkoba;Agak Negatif
respon cepat bin salurkan bantuan korban gempa cianjur terbaik binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Negatif
situs gunung padang sepi akibat gempa cianjur riwayat pesona daya tariknya;Agak Positif
bantuan utk korban gempa cianjur rumahnya rusak berat rp juta subsidi pemerintah mobil listrik rp juta korban gempa mayoritas rakyat miskin dapatnya drpd org kaya beli mobil listrik ngaji pelafal quran;Agak Negatif
terbaik banget nih puluhan prajurit yonif bjw diterjunkan bersihkan puing bangunan pasca gempa cianjur ksad jenderal dudung abdurachmanangkatan darat hati rakyatulus utamakan rakyat;Positif
lazisnu jawa timur serahkan bantuan warga terdampak gempa cianjur senilai rp juta;Negatif
rekap dana donasi dokumentasi korban gempa cianjur halo sobat tc pengen tau hasil amal pengeluaran salurkan gerakan menyumbang kepo keseruan kegiatanya;Positif
tahukah saudarasebangsa paket dana bantuan perbaikan pembangunan rumah korban gempa cianjur dibagikan paket lainya diurus kementerian keuangan;Positif
gresik terbesar donasi lazisnu jatim peduli gempa cianjur rp juta;Negatif
semangat mental korban gempa cianjur berusaha dipulihkan tim trauma healing binbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Positif
tim trauma healing untk bngkitkan semngat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Positif
pengungsi gempa cianjur terindikasi alami ganguan mental;Agak Positif
bin bngkitkan semngat mental korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Negatif
semangat mental korban gempa cianjur berusaha dipulihkan tim trauma healing binbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka;Agak Positif
bin membantu pulihkan semangat anak anak korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Negatif
bin bergerak membantu korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka;Negatif
bin bergerak membantu korban dampak gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka;Negatif
bin bantuan warga trdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka;Negatif
korban gempa cianjur berusaha dibantu pulih binbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka;Netral
bin bantu pulihkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka;Negatif
bin berusaha membangkitkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka;Negatif
bin bergerak membantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka;Negatif
semangat mental korban gempa cianjur dipulihkan kembalibinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka;Agak Positif
bin menembus desa terisolir bantuan warga trdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka;Negatif
bin membantu korban gempa cianjur tdk mengalami trauma binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka;Negatif
pmi distribusikan juta liter air bersih warga korban gempa cianjur;Positif
sesar aktif jabar salah satunya ditemukan pasca gempa cianjur lengkapcepatberitanya beritaterkini;Positif
tim trauma healing diterjunkan utk membangkitkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka;Agak Positif
tim trauma healing diterjunkan utk membantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka;Positif
piti mengirimkan bantuan korban gempa cianjur merahputihcom piti korban gempabumi cianjur;Negatif
bin tembus desa terisolir bantuan warga trdampak gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Negatif
terjunkan tim trauma healing untk bngkitkan semngat mental korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Agak Positif
proses pembangunan masjid darurat korban gempa cianjur kolaborasi orangbaik masjid siti djirzanah;Negatif
terjunkan tim trauma healing untk bngkitkan semngat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Positif
bin tembus desa terisolir bantuan warga trdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
tim trauma healing bangkitkan semangat mental korban gempa cianjur terima kasih bin binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Positif
bin hinga tembus desa terisolir bantuan warga terdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
makan siang dapur balita gempa cianjur telur kari cah bayam wortel nasi lunak utk bayi dijadikan nasi tim bubur targetkan dapur pmba mpasi utk bayi balita penyintas gempa cianjur sat dapur kelola;Negatif
alhamdulilah semoga bin tim kesehatan membantu korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
keren bin korban gempa cianjur bersemangat binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
ogah bngt udah buang buang duit aja mnding galang dana korban gempa cianjur lbh br mnfat lbh manusiawi;Agak Positif
keren bin bantuan korban gempa cianjur layanan dor to dor binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
terimakasih bin tim membantu korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
keren semoga korban gempa cianjur pulih binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
klaim gempa cianjur berpotensi mencapai rp triliun;Negatif
mantap bin terjunkan tim trauma healing bangkitkan semangat mental korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Positif
keren bin tembus desa terisolir bantuan warga terdampak gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
posko bantuan bin bermanfat korban gempa cianjur;Negatif
lembaga bin membantu korban cianjur bin pedulibinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
alhamdulilah bin bantuan korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
mantap bin bantu korban gempa cianjur layanan dor to dor binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
apersi peduli bantuan kemanusian korban gempa cianjur;Netral
kabid humas polda jabar polri berperan aktif pendistirbusian bantuan sosial korban gempa cianjur suara km media kabid humas polda jabar polri berperan aktif pendistirbusian bantuan sosial korban gempa cianjur;Positif
news bin berupaya lakukan recovery korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
news bin salurkan bantuan korban terdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
news bin trauma healing korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
news bin tembus desa terisolir demu salurkan bantuan korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
info bin berupaya lakukan recovery korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Positif
info bin salurkan bantuan korban terdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
info bin trauma healing korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Positif
info bin tembus desa terisolir demu salurkan bantuan korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
mensos anak anak yatim piatu korban gempa cianjur cita cita tingi insiden insiden;Positif
bin berupaya lakukan recovery korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
bin salurkan bantuan korban terdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
bin trauma healing korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
bin tembus desa terisolir demu salurkan bantuan korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
bin peduli kondisi kesehatan warga terdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
kegiatan trauma healing anak anak korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Positif
bin peduli pengungsi korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
bin bergerak cepat pulihkan gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
bin peduli kemanusian korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Negatif
ratusan pengungsi korban gempa cianjur posko bantuan bin bantu kemanusian binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Negatif
bin membantu korban gempa cianjur mengalami trauma binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
badan intelijen negara terjunkan tim trauma healing kebangkitan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka;Agak Positif
ratusan pengungsi korban gempa cianjur posko bantuan bin bantuan kemanusian binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Negatif
bangkitkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Positif
tim trauma healing bin membantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Positif
tim trauma healing bin bantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Positif
tim traumw healing bangkitkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Positif
mas bukumu masuk diselamatkan pasca gempa cianjur;Positif
bin bangkitkan semangat mental korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
tim posko bin bantuan warga terdampak gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
alhamdulilah terimakasih bin udah peduli korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
posko bantuan bin sigap bantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
tim trauma healing bin bangkitkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Positif
tim trauma healing bantu anak anak korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Positif
bin bantuan tim trauma healing korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Positif
warga korban gempa cianjur berterima kasih bin sedah bantuan logistikbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
terimakasih bin bantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
salah warga mewakili pengungsi korban gempa cianjur berterima kasih binbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
bantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
andreas insap perwakilan dinas kesehatan kabupaten cianjur senang bin melayani masyarakat korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
korban gempa cianjur layanan trauma healingbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
bian bantu layanan kesehatan korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Netral
cepat bin pelayanan kesehatan warga terdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
layanan kesehatan bin korban gempa cianjur diapresiasibinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
trauma healing bangkitkan semangat mental korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Positif
bin kerahkan bantuan wilayah terpencil korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Negatif
bin tembus daerah terisolir bantuan warga terdampak gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
tim trauma healing bin bangkitkan semangat mental korban gempa cianjur keren bin binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
bin terjunkan tim trauma healing bangkitkan semangat mental korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Positif
tim kemanusian bin sisir warga terdampak gempa cianjur hinga desa terisolir binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Agak Negatif
terima kasih bin bergerak cepat bantuan korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
menghilangkan trauma korban gempa cianjur bin menurunkan tim trauma healing binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
banga tindakan lakukan bin korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
bin cepat tangap bantuan korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
apresiasi bin membangkitkan semangat warga korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Negatif
tim trauma healing bangkitkan semangat korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Positif
bin terjunkan tim trauma healing bangkitkan semangat warga korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Positif
