pos,neg,neu,compound,cleaned_comment
0.0,0.0,1.0,0.0,pengungsi korban gempa kabupaten cianjur mendiami tenda tenda terindikasi mengalami ganguan mental emosional angka persentase penderitanya relatif tingi medcomid
0.0,0.219,0.781,-0.4215,fpijawabaratmpi jabar gelar trauma healing anak anak korban gempa cianjur cugenang
0.0,0.0,1.0,0.0,desember yayasan asih mulia laksana serahkan donasi bantuan korban gempa cianjur cianjur jawabarat indonesia
0.0,0.0,1.0,0.0,terimakasih donatur terlibat dlm kegiatan peduli gempa cianjur semoga alah swt senantiasa membalasnya dg keberkahan imbalan pahala amin dri ikatan alumni lintas angkatan sman peduligempacianjur
0.0,0.0,1.0,0.0,bantuan kalimantan selatan diterima korban gempa cianjur
0.0,0.0,1.0,0.0,peduli korban gempa cianjur rutan cipinang kemenkumham dki jakarta ikuti kegiatan kumham peduli cianjur
0.0,0.0,1.0,0.0,paska gempa cianjur back camp pengungsian orang tua sdh sepuh sing cager umur
0.0,0.0,1.0,0.0,kemensos salurkan bantuan tunai anak yatim piatu paska gempa cianjur
0.0,0.0,1.0,0.0,semoga uas bljr sm gus baha gempa cianjur kemaren berhutang budi anjing korban ditemukan bantuan anjing pelacak anjing memiliki penciuman tajam membedakan bahan peledak bom narkoba
0.0,0.0,1.0,0.0,respon cepat bin salurkan bantuan korban gempa cianjur terbaik binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama
0.0,0.0,1.0,0.0,situs gunung padang sepi akibat gempa cianjur riwayat pesona daya tariknya
0.0,0.0,1.0,0.0,bantuan utk korban gempa cianjur rumahnya rusak berat rp juta subsidi pemerintah mobil listrik rp juta korban gempa mayoritas rakyat miskin dapatnya drpd org kaya beli mobil listrik ngaji pelafal quran
0.0,0.0,1.0,0.0,terbaik banget nih puluhan prajurit yonif bjw diterjunkan bersihkan puing bangunan pasca gempa cianjur ksad jenderal dudung abdurachmanangkatan darat hati rakyatulus utamakan rakyat
0.0,0.0,1.0,0.0,lazisnu jawa timur serahkan bantuan warga terdampak gempa cianjur senilai rp juta
0.0,0.0,1.0,0.0,rekap dana donasi dokumentasi korban gempa cianjur halo sobat tc pengen tau hasil amal pengeluaran salurkan gerakan menyumbang kepo keseruan kegiatanya
0.0,0.0,1.0,0.0,tahukah saudarasebangsa paket dana bantuan perbaikan pembangunan rumah korban gempa cianjur dibagikan paket lainya diurus kementerian keuangan
0.0,0.0,1.0,0.0,gresik terbesar donasi lazisnu jatim peduli gempa cianjur rp juta
0.0,0.219,0.781,-0.4215,semangat mental korban gempa cianjur berusaha dipulihkan tim trauma healing binbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.237,0.763,-0.4215,tim trauma healing untk bngkitkan semngat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,pengungsi gempa cianjur terindikasi alami ganguan mental
0.0,0.0,1.0,0.0,bin bngkitkan semngat mental korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama
0.0,0.219,0.781,-0.4215,semangat mental korban gempa cianjur berusaha dipulihkan tim trauma healing binbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka
0.0,0.0,1.0,0.0,bin membantu pulihkan semangat anak anak korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama
0.0,0.0,1.0,0.0,bin bergerak membantu korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka
0.0,0.0,1.0,0.0,bin bergerak membantu korban dampak gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka
0.0,0.0,1.0,0.0,bin bantuan warga trdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka
0.0,0.0,1.0,0.0,korban gempa cianjur berusaha dibantu pulih binbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka
0.0,0.0,1.0,0.0,bin bantu pulihkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka
0.0,0.0,1.0,0.0,bin berusaha membangkitkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka
0.0,0.0,1.0,0.0,bin bergerak membantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka
0.0,0.0,1.0,0.0,semangat mental korban gempa cianjur dipulihkan kembalibinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka
0.0,0.0,1.0,0.0,bin menembus desa terisolir bantuan warga trdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka
0.0,0.259,0.741,-0.4215,bin membantu korban gempa cianjur tdk mengalami trauma binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka
0.0,0.0,1.0,0.0,pmi distribusikan juta liter air bersih warga korban gempa cianjur
0.0,0.0,1.0,0.0,sesar aktif jabar salah satunya ditemukan pasca gempa cianjur lengkapcepatberitanya beritaterkini
0.0,0.219,0.781,-0.4215,tim trauma healing diterjunkan utk membangkitkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka
0.0,0.259,0.741,-0.4215,tim trauma healing diterjunkan utk membantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka
0.0,0.0,1.0,0.0,piti mengirimkan bantuan korban gempa cianjur merahputihcom piti korban gempabumi cianjur
0.0,0.0,1.0,0.0,bin tembus desa terisolir bantuan warga trdampak gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama
0.0,0.157,0.843,-0.4215,terjunkan tim trauma healing untk bngkitkan semngat mental korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama
0.0,0.0,1.0,0.0,proses pembangunan masjid darurat korban gempa cianjur kolaborasi orangbaik masjid siti djirzanah
0.0,0.219,0.781,-0.4215,terjunkan tim trauma healing untk bngkitkan semngat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,bin tembus desa terisolir bantuan warga trdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.189,0.811,-0.4215,tim trauma healing bangkitkan semangat mental korban gempa cianjur terima kasih bin binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,bin hinga tembus desa terisolir bantuan warga terdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,makan siang dapur balita gempa cianjur telur kari cah bayam wortel nasi lunak utk bayi dijadikan nasi tim bubur targetkan dapur pmba mpasi utk bayi balita penyintas gempa cianjur sat dapur kelola
0.0,0.0,1.0,0.0,alhamdulilah semoga bin tim kesehatan membantu korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,keren bin korban gempa cianjur bersemangat binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,ogah bngt udah buang buang duit aja mnding galang dana korban gempa cianjur lbh br mnfat lbh manusiawi
0.0,0.0,1.0,0.0,keren bin bantuan korban gempa cianjur layanan dor to dor binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,terimakasih bin tim membantu korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,keren semoga korban gempa cianjur pulih binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,klaim gempa cianjur berpotensi mencapai rp triliun
0.0,0.189,0.811,-0.4215,mantap bin terjunkan tim trauma healing bangkitkan semangat mental korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,keren bin tembus desa terisolir bantuan warga terdampak gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,posko bantuan bin bermanfat korban gempa cianjur
0.0,0.0,1.0,0.0,lembaga bin membantu korban cianjur bin pedulibinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,alhamdulilah bin bantuan korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,mantap bin bantu korban gempa cianjur layanan dor to dor binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,apersi peduli bantuan kemanusian korban gempa cianjur
0.0,0.0,1.0,0.0,kabid humas polda jabar polri berperan aktif pendistirbusian bantuan sosial korban gempa cianjur suara km media kabid humas polda jabar polri berperan aktif pendistirbusian bantuan sosial korban gempa cianjur
0.0,0.0,1.0,0.0,news bin berupaya lakukan recovery korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,news bin salurkan bantuan korban terdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
