cleaned_comment;Sentiment
pengungsi korban gempa kabupaten cianjur mendiami tenda tenda terindikasi mengalami ganguan mental emosional angka persentase penderitanya relatif tingi medcomid;Netral
fpijawabaratmpi jabar gelar trauma healing anak anak korban gempa cianjur cugenang;Agak Negatif
desember yayasan asih mulia laksana serahkan donasi bantuan korban gempa cianjur cianjur jawabarat indonesia;Positif
terimakasih donatur terlibat dlm kegiatan peduli gempa cianjur semoga alah swt senantiasa membalasnya dg keberkahan imbalan pahala amin dri ikatan alumni lintas angkatan sman peduligempacianjur;Positif
bantuan kalimantan selatan diterima korban gempa cianjur;Positif
peduli korban gempa cianjur rutan cipinang kemenkumham dki jakarta ikuti kegiatan kumham peduli cianjur;Netral
paska gempa cianjur back camp pengungsian orang tua sdh sepuh sing cager umur;Netral
kemensos salurkan bantuan tunai anak yatim piatu paska gempa cianjur;Positif
semoga uas bljr sm gus baha gempa cianjur kemaren berhutang budi anjing korban ditemukan bantuan anjing pelacak anjing memiliki penciuman tajam membedakan bahan peledak bom narkoba;Netral
respon cepat bin salurkan bantuan korban gempa cianjur terbaik binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Positif
situs gunung padang sepi akibat gempa cianjur riwayat pesona daya tariknya;Netral
bantuan utk korban gempa cianjur rumahnya rusak berat rp juta subsidi pemerintah mobil listrik rp juta korban gempa mayoritas rakyat miskin dapatnya drpd org kaya beli mobil listrik ngaji pelafal quran;Positif
terbaik banget nih puluhan prajurit yonif bjw diterjunkan bersihkan puing bangunan pasca gempa cianjur ksad jenderal dudung abdurachmanangkatan darat hati rakyatulus utamakan rakyat;Positif
lazisnu jawa timur serahkan bantuan warga terdampak gempa cianjur senilai rp juta;Positif
rekap dana donasi dokumentasi korban gempa cianjur halo sobat tc pengen tau hasil amal pengeluaran salurkan gerakan menyumbang kepo keseruan kegiatanya;Netral
tahukah saudarasebangsa paket dana bantuan perbaikan pembangunan rumah korban gempa cianjur dibagikan paket lainya diurus kementerian keuangan;Netral
gresik terbesar donasi lazisnu jatim peduli gempa cianjur rp juta;Netral
semangat mental korban gempa cianjur berusaha dipulihkan tim trauma healing binbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
tim trauma healing untk bngkitkan semngat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama;Agak Negatif
pengungsi gempa cianjur terindikasi alami ganguan mental;Netral
bin bngkitkan semngat mental korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Netral
semangat mental korban gempa cianjur berusaha dipulihkan tim trauma healing binbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka;Agak Negatif
bin membantu pulihkan semangat anak anak korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama;Positif
bin bergerak membantu korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka;Positif
bin bergerak membantu korban dampak gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka;Positif
